KOI Name,Set
K01936.01,Unlabeled
K04658.01,Train
K05109.01,Train
K04088.01,Train
K06477.01,Train
K03936.01,Test
K03936.02,Unlabeled
K06478.01,Test
K03272.01,Train
K06479.01,Train
K06481.01,Train
K03852.01,Test
K00404.01,Train
K01753.01,Train
K06483.01,Train
K02258.01,Test
K00501.01,Unlabeled
K02818.01,Train
K04676.02,Train
K05110.01,Test
K01923.01,Train
K06123.01,Train
K02951.01,Test
K07712.01,Unlabeled
K05111.01,Test
K06485.01,Train
K00405.01,Test
K04524.01,Unlabeled
K04524.02,Unlabeled
K04524.03,Unlabeled
K03421.01,Train
K02237.01,Unlabeled
K05112.01,Train
K02406.01,Test
K03770.01,Unlabeled
K01666.01,Test
K01605.01,Test
K07713.01,Test
K01609.01,Train
K00606.01,Train
K02966.01,Test
K03923.01,Train
K01667.01,Train
K05115.01,Train
K06486.01,Train
K06487.01,Train
K03688.01,Train
K03802.01,Train
K00635.01,Unlabeled
K03679.01,Test
K00447.01,Train
K06490.01,Test
K00026.01,Test
K00821.01,Train
K06491.01,Train
K02138.01,Train
K06492.01,Test
K03570.01,Train
K00233.01,Train
K06493.01,Test
K04819.01,Train
K04286.01,Train
K03579.01,Train
K07555.01,Train
K07714.01,Train
K01544.01,Train
K02041.01,Train
K06496.01,Train
K06498.01,Test
K08252.01,Test
K06499.01,Train
K04280.01,Test
K05117.01,Unlabeled
K01573.01,Unlabeled
K01573.02,Unlabeled
K06501.01,Train
K04546.01,Unlabeled
K06124.01,Train
K00406.01,Train
K04080.01,Test
K06502.01,Train
K06503.01,Test
K03718.01,Test
K06504.01,Train
K02437.01,Train
K05998.01,Train
K05121.01,Train
K02546.01,Train
K01597.01,Unlabeled
K06125.01,Train
K03065.01,Unlabeled
K04354.01,Test
K02795.01,Train
K04085.01,Train
K02462.01,Unlabeled
K06507.01,Train
K00822.01,Test
K04211.01,Test
K04211.02,Test
K06508.01,Train
K02438.01,Train
K06509.01,Train
K01843.01,Train
K01843.02,Unlabeled
K06510.01,Train
K06512.01,Train
K04202.01,Train
K00161.01,Train
K04127.01,Test
K00282.01,Train
K00282.02,Train
K00282.03,Train
K01801.01,Train
K00636.01,Train
K02973.01,Test
K07715.01,Unlabeled
K06515.01,Train
K03045.01,Unlabeled
K05124.01,Train
K00123.01,Train
K00123.02,Train
K04320.01,Unlabeled
K06518.01,Train
K02607.01,Unlabeled
K04331.01,Unlabeled
K03093.01,Train
K04244.01,Test
K02767.01,Train
K07716.01,Unlabeled
K02435.01,Unlabeled
K08253.01,Unlabeled
K00637.01,Train
K01668.01,Test
K03660.01,Train
K02878.01,Unlabeled
K01924.01,Unlabeled
K02955.01,Test
K01777.01,Test
K06521.01,Train
K06522.01,Train
K04043.01,Train
K03571.01,Train
K05127.01,Train
K06523.01,Train
K00638.01,Train
K00638.02,Test
K06524.01,Test
K04789.01,Test
K00639.01,Train
K07717.01,Train
K06126.01,Train
K00640.01,Test
K00552.01,Train
K03099.01,Train
K01822.01,Unlabeled
K06528.01,Train
K02241.01,Unlabeled
K04428.01,Unlabeled
K06529.01,Train
K07718.01,Train
K02698.01,Test
K08098.01,Train
K04208.01,Unlabeled
K00140.01,Train
K03707.01,Test
K05128.01,Train
K03583.01,Train
K03325.01,Train
K00641.01,Unlabeled
K05129.01,Unlabeled
K00824.01,Train
K06531.01,Train
K07719.01,Test
K06532.01,Unlabeled
K06533.01,Train
K06534.01,Train
K05131.01,Train
K02532.01,Unlabeled
K06535.01,Train
K02563.01,Train
K02563.02,Unlabeled
K02708.01,Test
K01603.01,Test
K04246.01,Train
K04246.02,Unlabeled
K05132.01,Unlabeled
K06536.01,Train
K03638.01,Train
K00642.01,Test
K01669.01,Train
K01564.01,Test
K01670.01,Test
K02719.01,Test
K02719.02,Unlabeled
K07720.01,Train
K02693.01,Train
K02693.02,Train
K02693.03,Train
K03492.01,Train
K03637.01,Train
K06537.01,Test
K01580.01,Train
K06538.01,Unlabeled
K03323.01,Unlabeled
K01671.01,Unlabeled
K03940.01,Train
K02695.01,Unlabeled
K04178.01,Unlabeled
K05138.01,Train
K06540.01,Train
K03159.01,Train
K04044.01,Train
K07721.01,Test
K01932.01,Train
K01932.02,Train
K03779.01,Train
K04912.01,Unlabeled
K02883.01,Train
K01568.01,Train
K02158.01,Unlabeled
K02158.02,Unlabeled
K06541.01,Train
K06541.02,Train
K03273.01,Train
K02495.01,Train
K03474.01,Unlabeled
K03468.01,Test
K01941.01,Train
K03903.01,Test
K03740.01,Train
K03866.01,Train
K06543.01,Train
K04151.01,Train
K01592.01,Train
K03155.01,Train
K03036.01,Train
K06544.01,Train
K00407.01,Train
K01563.01,Train
K01563.02,Train
K01563.03,Unlabeled
K01563.04,Train
K00825.01,Train
K00825.02,Train
K04713.01,Unlabeled
K05999.01,Train
K06545.01,Train
K03368.01,Unlabeled
K06546.01,Unlabeled
K05145.01,Train
K03563.01,Train
K06547.01,Train
K07557.01,Train
K06548.01,Train
K01672.01,Train
K01543.01,Train
K01673.01,Test
K02711.01,Train
K02711.02,Train
K06550.01,Test
K00826.01,Train
K07722.01,Train
K07723.01,Train
K03274.01,Train
K04411.01,Train
K01545.01,Unlabeled
K01545.02,Test
K00502.01,Test
K04736.01,Train
K06551.01,Test
K01547.01,Unlabeled
K00827.01,Train
K05149.01,Unlabeled
K06552.01,Train
K06553.01,Train
K06554.01,Test
K00828.01,Train
K06555.01,Train
K02136.01,Train
K04010.01,Train
K08099.01,Train
K01593.01,Train
K01593.02,Train
K05150.01,Unlabeled
K06556.01,Train
K03463.01,Unlabeled
K06557.01,Unlabeled
K00130.01,Unlabeled
K06558.01,Test
K01576.01,Train
K01576.02,Train
K06559.01,Train
K07724.01,Train
K01589.01,Train
K01589.02,Train
K01589.03,Train
K01589.04,Test
K01589.05,Train
K01755.01,Train
K02746.01,Train
K03275.01,Test
K00553.01,Train
K03982.01,Train
K08100.01,Train
K03239.01,Train
K07725.01,Train
K03820.01,Train
K03843.01,Train
K03806.01,Test
K04158.01,Train
K01991.01,Train
K06561.01,Test
K02804.01,Train
K02558.01,Train
K03228.01,Train
K04750.01,Unlabeled
K02724.01,Train
K03887.01,Test
K04409.01,Unlabeled
K01562.01,Train
K01562.02,Unlabeled
K02718.01,Train
K05152.01,Train
K06563.01,Test
K00643.01,Test
K06564.01,Train
K02440.01,Train
K00503.01,Test
K04199.01,Train
K02666.01,Unlabeled
K02297.01,Unlabeled
K06565.01,Train
K06566.01,Train
K06567.01,Train
K02555.01,Train
K04008.01,Train
K00408.01,Train
K00408.02,Train
K00408.03,Train
K00408.04,Train
K00408.05,Train
K04467.01,Unlabeled
K06568.01,Unlabeled
K00644.01,Train
K01674.01,Test
K02219.01,Unlabeled
K00188.01,Train
K00829.01,Train
K00829.02,Train
K00829.03,Train
K00830.01,Train
K06569.01,Train
K03768.01,Train
K01675.01,Unlabeled
K03289.01,Train
K00248.01,Train
K00248.02,Test
K00248.03,Train
K00248.04,Train
K02690.01,Unlabeled
K00831.01,Train
K01557.01,Train
K01557.02,Train
K01557.03,Train
K01557.04,Train
K04327.01,Test
K00832.01,Train
K02556.01,Train
K05155.01,Unlabeled
K00645.01,Test
K00645.02,Unlabeled
K01825.01,Train
K00833.01,Test
K00182.01,Unlabeled
K00261.01,Train
K02011.01,Train
K02011.02,Train
K03444.01,Unlabeled
K03444.02,Test
K03444.03,Unlabeled
K03444.04,Train
K00646.01,Train
K06000.01,Test
K06001.01,Train
K06002.01,Test
K02370.01,Unlabeled
K04323.01,Unlabeled
K04323.02,Test
K02478.01,Test
K06571.01,Train
K03502.01,Train
K03988.01,Test
K06003.01,Test
K06128.01,Train
K06004.01,Test
K03965.01,Train
K06573.01,Test
K03967.01,Train
K03967.02,Test
K06005.01,Test
K06129.01,Test
K06006.01,Test
K04135.01,Train
K03813.01,Unlabeled
K01762.01,Train
K06575.01,Test
K01836.01,Test
K07726.01,Test
K04591.01,Unlabeled
K08254.01,Train
K05157.01,Unlabeled
K02510.01,Test
K03292.01,Test
K03342.01,Train
K06576.01,Train
K01935.01,Train
K03856.01,Unlabeled
K06577.01,Train
K03213.01,Train
K04671.01,Train
K06130.01,Unlabeled
K02794.01,Train
K04558.01,Unlabeled
K03696.01,Train
K02471.01,Unlabeled
K02835.01,Unlabeled
K00834.01,Train
K00834.02,Test
K00834.03,Train
K00834.04,Train
K00834.05,Train
K04907.01,Unlabeled
K03791.01,Train
K03791.02,Train
K01567.01,Train
K01567.02,Test
K01567.03,Test
K01567.04,Train
K01601.01,Train
K01601.02,Train
K03141.01,Train
K00607.01,Unlabeled
K05169.01,Unlabeled
K02713.01,Test
K01676.01,Train
K00554.01,Unlabeled
K04064.01,Test
K01778.01,Test
K06578.01,Train
K07727.01,Train
K00409.01,Test
K01551.01,Train
K03039.01,Train
K00410.01,Test
K01780.01,Train
K02970.01,Unlabeled
K03521.01,Train
K07728.01,Train
K00835.01,Train
K00835.02,Train
K06579.01,Unlabeled
K04508.01,Unlabeled
K07729.01,Test
K06580.01,Train
K00504.01,Train
K06581.01,Train
K06582.01,Unlabeled
K03840.01,Test
K03825.01,Train
K02161.01,Test
K05171.01,Train
K08255.01,Train
K01585.01,Test
K05172.01,Train
K06007.01,Train
K06583.01,Test
K03956.01,Train
K03956.02,Train
K06008.01,Test
K05173.01,Test
K03504.01,Train
K06009.01,Train
K02911.01,Train
K06010.01,Test
K04155.01,Test
K03485.01,Test
K06586.01,Train
K06587.01,Train
K04368.01,Test
K03914.01,Train
K04863.01,Train
K02505.01,Train
K03723.01,Train
K04000.01,Train
K03499.01,Train
K04006.01,Train
K06011.01,Train
K06012.01,Test
K04110.01,Train
K03894.01,Test
K02939.01,Train
K01599.01,Unlabeled
K01599.02,Unlabeled
K01610.01,Train
K03050.01,Unlabeled
K01546.01,Unlabeled
K03969.01,Test
K02895.01,Test
K06588.01,Train
K04167.01,Train
K03798.01,Test
K04598.01,Test
K04598.02,Train
K01607.01,Train
K00411.01,Train
K03738.01,Train
K03962.01,Train
K02251.01,Train
K06589.01,Train
K02707.01,Train
K02707.02,Test
K02707.03,Train
K03904.01,Train
K04841.01,Test
K02701.01,Train
K00836.01,Train
K03772.01,Train
K03199.01,Test
K01930.01,Train
K01930.02,Test
K01930.03,Test
K01930.04,Train
K04541.01,Unlabeled
K04541.02,Unlabeled
K07730.01,Test
K02668.01,Test
K01962.01,Unlabeled
K06591.01,Train
K04119.01,Test
K07731.01,Train
K02854.01,Test
K02741.01,Test
K02591.01,Train
K00257.01,Test
K02990.01,Train
K02456.01,Test
K03030.01,Train
K01838.01,Train
K01677.01,Test
K01678.01,Train
K06592.01,Test
K07732.01,Train
K06593.01,Train
K01679.01,Train
K02518.01,Train
K04067.01,Unlabeled
K06594.01,Train
K01680.01,Train
K00837.01,Test
K00837.02,Train
K00647.01,Train
K00647.02,Unlabeled
K01681.01,Unlabeled
K01681.02,Train
K01681.03,Unlabeled
K01681.04,Unlabeled
K06595.01,Train
K06596.01,Train
K00838.01,Train
K02332.01,Unlabeled
K03557.01,Train
K06597.01,Train
K03865.01,Train
K01590.01,Unlabeled
K01590.02,Unlabeled
K01590.03,Unlabeled
K02501.01,Test
K03226.01,Unlabeled
K03226.02,Unlabeled
K02499.01,Test
K02452.01,Train
K03797.01,Test
K02587.01,Train
K02160.01,Test
K00224.01,Test
K04154.02,Train
K05178.01,Train
K03989.01,Train
K03119.01,Unlabeled
K04495.01,Unlabeled
K06599.01,Train
K01575.01,Train
K03377.01,Unlabeled
K03223.01,Test
K06013.01,Train
K01571.01,Test
K04660.01,Train
K03879.01,Train
K03819.01,Test
K01621.01,Test
K02664.01,Train
K00608.01,Test
K05179.01,Unlabeled
K04220.01,Test
K03309.01,Unlabeled
K04406.01,Train
K01566.01,Train
K05180.01,Test
K03742.01,Train
K01789.01,Train
K04161.01,Train
K00648.01,Train
K06601.01,Unlabeled
K06014.01,Train
K08101.01,Train
K03949.01,Test
K06602.01,Train
K07560.01,Train
K02337.01,Train
K02191.01,Unlabeled
K02369.01,Test
K02369.03,Unlabeled
K02254.01,Test
K00609.01,Test
K02834.01,Train
K06603.01,Train
K03206.01,Unlabeled
K00649.01,Train
K00649.02,Unlabeled
K02915.01,Unlabeled
K07733.01,Train
K01588.01,Train
K01814.01,Train
K06606.01,Train
K06607.01,Train
K03341.01,Unlabeled
K03341.02,Unlabeled
K02415.01,Unlabeled
K06608.01,Train
K06132.01,Unlabeled
K06132.02,Train
K06132.03,Unlabeled
K02345.01,Test
K01578.01,Train
K02010.01,Train
K04213.01,Train
K06609.01,Train
K03817.01,Train
K01565.01,Test
K08102.01,Train
K08256.01,Test
K00448.01,Test
K00448.02,Train
K02882.01,Train
K02882.02,Train
K04705.01,Unlabeled
K06015.01,Train
K04194.01,Train
K04837.01,Unlabeled
K08103.01,Train
K06611.01,Train
K00979.01,Train
K03636.01,Train
K00839.01,Test
K02676.01,Test
K02799.01,Train
K03831.01,Train
K04078.01,Train
K01540.01,Train
K03731.01,Test
K05187.01,Train
K00840.01,Train
K04778.01,Unlabeled
K04827.01,Unlabeled
K00164.01,Train
K03703.01,Train
K02790.01,Train
K00371.01,Train
K06612.01,Train
K06612.02,Train
K05189.01,Train
K05190.01,Train
K07734.01,Train
K03711.01,Train
K08257.01,Unlabeled
K00412.01,Test
K00610.01,Test
K06613.01,Train
K04587.01,Unlabeled
K07735.01,Unlabeled
K04097.01,Unlabeled
K04097.02,Test
K03144.01,Test
K02856.01,Train
K03784.01,Test
K00505.01,Test
K00505.02,Train
K00505.03,Test
K00505.04,Test
K00505.05,Train
K00283.01,Test
K00283.02,Train
K01897.01,Unlabeled
K04756.01,Unlabeled
K02983.01,Train
K06614.01,Train
K04594.01,Test
K06616.01,Train
K04100.01,Train
K06617.01,Unlabeled
K03000.01,Test
K02091.01,Unlabeled
K02183.01,Train
K02183.02,Train
K02183.03,Train
K01908.01,Train
K01908.02,Train
K07736.01,Train
K08104.01,Train
K00555.01,Train
K00555.02,Unlabeled
K02783.01,Unlabeled
K04744.01,Unlabeled
K03396.01,Unlabeled
K06619.01,Unlabeled
K07737.01,Train
K00272.01,Train
K02358.01,Unlabeled
K02752.01,Test
K00033.01,Train
K06620.01,Train
K00206.01,Train
K01011.01,Test
K07738.01,Train
K01956.01,Train
K03603.01,Train
K02189.01,Unlabeled
K06621.01,Train
K01793.01,Unlabeled
K05196.01,Train
K00148.01,Train
K00148.02,Train
K00148.03,Train
K06622.01,Train
K06623.01,Test
K07739.01,Train
K06624.01,Test
K01006.01,Test
K00556.01,Train
K03676.01,Train
K03951.01,Test
K06134.01,Train
K03288.01,Train
K06135.01,Train
K04913.01,Unlabeled
K04913.02,Test
K03810.01,Test
K01928.01,Unlabeled
K06625.01,Test
K00190.01,Train
K04002.01,Unlabeled
K00557.01,Train
K07740.01,Train
K08105.01,Train
K02802.01,Unlabeled
K00449.01,Test
K01005.01,Test
K00506.01,Unlabeled
K04443.01,Unlabeled
K00097.01,Train
K03412.01,Test
K06626.01,Train
K03916.01,Train
K04259.01,Unlabeled
K00650.01,Unlabeled
K02927.01,Unlabeled
K00259.01,Train
K08106.01,Train
K00413.01,Train
K00413.02,Train
K00841.01,Train
K00841.02,Train
K00841.03,Unlabeled
K00841.04,Train
K00841.05,Train
K00254.01,Train
K00842.01,Train
K00842.02,Train
K02675.01,Train
K02675.02,Unlabeled
K06016.01,Unlabeled
K03369.01,Train
K00651.01,Train
K00652.01,Train
K00225.01,Train
K08107.01,Unlabeled
K01044.01,Train
K06627.01,Train
K04767.01,Train
K06628.01,Train
K01834.01,Train
K01039.01,Test
K04398.01,Unlabeled
K07741.01,Train
K06629.01,Train
K02614.01,Test
K06630.01,Unlabeled
K01050.01,Train
K01050.02,Train
K01902.01,Train
K08108.01,Train
K00012.01,Train
K00507.01,Train
K04865.01,Train
K06136.01,Train
K06137.01,Unlabeled
K06137.02,Test
K01043.01,Test
K03645.01,Test
K01042.01,Train
K04293.01,Test
K01040.01,Train
K06138.01,Train
K04256.01,Train
K04652.01,Train
K05204.01,Train
K07742.01,Train
K02897.01,Train
K03332.01,Test
K04686.01,Unlabeled
K01048.01,Train
K07743.01,Test
K01839.01,Train
K01839.02,Unlabeled
K02448.01,Train
K05206.01,Train
K08109.01,Unlabeled
K05207.01,Unlabeled
K06631.01,Unlabeled
K04384.01,Train
K01787.01,Test
K03071.01,Test
K01055.01,Test
K03651.01,Train
K00085.01,Train
K00085.02,Train
K00085.03,Train
K04290.01,Train
K08258.01,Test
K06632.01,Train
K02703.01,Train
K08110.01,Train
K00414.01,Train
K00414.02,Test
K04279.01,Train
K01049.01,Train
K03331.01,Test
K07744.01,Unlabeled
K07745.01,Train
K01060.01,Train
K01060.02,Train
K01060.03,Train
K01060.04,Train
K04156.01,Unlabeled
K07746.01,Unlabeled
K00843.01,Test
K02744.01,Train
K02744.02,Unlabeled
K07747.01,Train
K07748.01,Train
K07749.01,Unlabeled
K00653.01,Train
K02187.01,Train
K07750.01,Unlabeled
K06633.01,Train
K06634.01,Train
K07751.01,Train
K03935.01,Train
K03981.01,Train
K00126.01,Train
K00126.02,Unlabeled
K03422.01,Train
K01034.01,Train
K03426.01,Train
K04063.01,Train
K03692.01,Unlabeled
K00008.01,Train
K03029.01,Unlabeled
K03029.02,Unlabeled
K05209.01,Test
K02801.01,Unlabeled
K02377.01,Unlabeled
K04069.01,Unlabeled
K07563.01,Train
K04016.01,Train
K02031.01,Train
K00654.01,Test
K00654.02,Train
K01995.01,Unlabeled
K02250.01,Unlabeled
K02250.02,Unlabeled
K02525.01,Unlabeled
K05211.01,Unlabeled
K06636.01,Train
K03947.01,Train
K03947.02,Test
K06139.01,Train
K07753.01,Train
K06637.01,Test
K02733.01,Unlabeled
K04633.01,Unlabeled
K08111.01,Unlabeled
K06140.01,Train
K08112.01,Train
K04624.01,Train
K08259.01,Unlabeled
K01052.01,Train
K01052.02,Train
K01052.03,Test
K01052.04,Train
K04726.01,Test
K01053.01,Test
K01053.02,Unlabeled
K03821.01,Train
K02616.01,Train
K08113.01,Train
K02498.01,Test
K02498.02,Train
K00226.01,Train
K06017.01,Train
K04661.01,Unlabeled
K07754.01,Train
K06639.01,Train
K06640.01,Train
K01035.01,Train
K02479.01,Unlabeled
K05215.01,Train
K03319.01,Unlabeled
K03319.02,Train
K03319.03,Test
K00655.01,Test
K00655.02,Train
K00303.01,Train
K00656.01,Train
K06641.01,Unlabeled
K03909.01,Unlabeled
K00191.01,Train
K00191.02,Unlabeled
K00191.03,Unlabeled
K00191.04,Test
K04550.01,Unlabeled
K06642.01,Train
K03140.01,Unlabeled
K00558.01,Unlabeled
K02321.01,Unlabeled
K02321.02,Unlabeled
K06018.01,Test
K04817.01,Train
K02742.01,Test
K05218.01,Train
K02967.01,Unlabeled
K05219.01,Train
K01036.01,Train
K01041.01,Train
K06644.01,Train
K03190.01,Unlabeled
K03476.01,Test
K05220.01,Unlabeled
K01047.01,Test
K06645.01,Train
K07756.01,Test
K04538.01,Train
K04271.01,Test
K01855.01,Unlabeled
K03942.01,Train
K06646.01,Unlabeled
K00657.01,Test
K00657.02,Train
K02148.01,Train
K02148.02,Train
K02148.03,Train
K00284.01,Train
K00284.02,Train
K00284.03,Train
K00284.04,Train
K00844.01,Train
K03414.01,Train
K03411.01,Train
K05224.01,Unlabeled
K02045.01,Train
K02045.02,Train
K02045.03,Train
K02949.01,Unlabeled
K02949.02,Unlabeled
K04276.01,Train
K02950.01,Train
K06647.01,Train
K00304.01,Test
K00304.02,Unlabeled
K08260.01,Test
K00845.01,Train
K02070.01,Test
K07757.01,Train
K01683.01,Train
K02071.01,Test
K01061.01,Test
K01916.01,Train
K01916.02,Train
K01916.03,Train
K06649.01,Train
K02167.01,Test
K02167.03,Train
K04165.01,Train
K06650.01,Train
K00450.01,Test
K06651.01,Train
K07759.01,Unlabeled
K04764.01,Unlabeled
K08114.01,Train
K06652.01,Train
K02646.01,Train
K03948.01,Train
K06654.01,Train
K00200.01,Test
K02100.01,Train
K01013.01,Train
K01684.01,Train
K06655.01,Train
K06656.01,Train
K01685.01,Unlabeled
K08115.01,Train
K00051.01,Test
K03972.01,Train
K06657.01,Test
K01799.01,Train
K03500.01,Unlabeled
K03500.02,Unlabeled
K03616.01,Train
K05233.01,Test
K01059.01,Train
K06658.01,Train
K00846.01,Train
K02001.01,Unlabeled
K00658.01,Train
K00658.02,Train
K00658.03,Train
K02315.01,Unlabeled
K00305.01,Test
K06659.01,Train
K03649.01,Train
K01045.01,Train
K01057.01,Train
K05236.01,Train
K07761.01,Train
K04632.01,Unlabeled
K00306.01,Train
K03070.01,Train
K06662.01,Train
K03004.01,Train
K03004.02,Unlabeled
K08116.01,Test
K02098.01,Train
K02098.02,Test
K07762.01,Unlabeled
K04087.01,Train
K06663.01,Train
K06664.01,Train
K07763.01,Train
K08117.01,Test
K03134.01,Train
K06019.01,Train
K03458.01,Test
K02343.01,Train
K08118.01,Train
K07764.01,Unlabeled
K02627.01,Train
K01058.01,Unlabeled
K00659.01,Train
K04553.01,Train
K06020.01,Test
K06665.01,Test
K06666.01,Unlabeled
K02886.01,Test
K04131.01,Train
K03307.01,Unlabeled
K01051.01,Unlabeled
K06667.01,Train
K03932.01,Train
K03605.01,Train
K05241.01,Train
K04123.01,Unlabeled
K02336.01,Test
K04602.01,Unlabeled
K05243.01,Test
K06021.01,Test
K06668.01,Train
K01062.01,Train
K06669.01,Train
K07766.01,Test
K03812.01,Test
K02469.01,Unlabeled
K06022.01,Train
K06670.01,Train
K00216.01,Train
K00216.02,Train
K03179.01,Unlabeled
K01794.01,Test
K06023.01,Train
K08261.01,Test
K03591.01,Train
K03512.01,Train
K02542.01,Unlabeled
K05245.01,Train
K01727.01,Train
K02858.01,Train
K00169.01,Train
K06671.01,Train
K04496.01,Unlabeled
K02839.01,Train
K04216.01,Unlabeled
K06672.01,Unlabeled
K07768.01,Test
K07769.01,Train
K00847.01,Train
K06024.01,Train
K08262.01,Train
K00285.01,Train
K00285.02,Train
K00285.03,Train
K06144.01,Train
K02829.01,Unlabeled
K04463.01,Unlabeled
K02636.01,Unlabeled
K07770.01,Test
K01687.01,Test
K02398.01,Unlabeled
K02211.01,Test
K07771.01,Test
K02350.01,Train
K03694.01,Test
K00451.01,Test
K03397.01,Unlabeled
K05249.01,Unlabeled
K01882.01,Test
K05250.01,Test
K05251.01,Test
K06673.01,Train
K01037.01,Train
K07772.01,Test
K01967.01,Train
K02252.01,Train
K05252.01,Test
K03240.01,Train
K06674.01,Train
K06675.01,Train
K06025.01,Train
K01750.01,Train
K01750.02,Unlabeled
K02196.01,Train
K02638.01,Unlabeled
K04793.01,Unlabeled
K06677.01,Train
K06145.01,Train
K06145.02,Train
K06145.03,Unlabeled
K03896.01,Train
K04274.01,Unlabeled
K02019.01,Test
K04068.01,Test
K03650.01,Train
K06678.01,Train
K08119.01,Train
K06679.01,Test
K07773.01,Unlabeled
K03552.01,Train
K03291.01,Train
K02725.01,Train
K01624.01,Train
K03609.01,Train
K03049.01,Train
K04715.01,Unlabeled
K03436.01,Train
K02753.01,Test
K06680.01,Unlabeled
K00508.01,Train
K00508.02,Test
K00848.01,Train
K00660.01,Train
K01613.01,Train
K01613.02,Unlabeled
K01613.03,Unlabeled
K06026.01,Train
K02608.01,Train
K01129.01,Train
K00849.01,Train
K04477.01,Unlabeled
K04477.02,Unlabeled
K04095.01,Train
K07774.01,Unlabeled
K05255.01,Train
K07775.01,Unlabeled
K03158.01,Train
K03158.02,Train
K03158.03,Train
K03158.04,Train
K03158.05,Train
K01812.01,Train
K06682.01,Train
K06683.01,Train
K06684.01,Test
K06685.01,Train
K03803.01,Train
K03501.01,Train
K08120.01,Train
K02221.01,Train
K00307.01,Train
K00307.02,Train
K04319.01,Train
K00415.01,Unlabeled
K05260.01,Test
K03869.01,Test
K04302.01,Unlabeled
K00452.01,Train
K00850.01,Train
K00308.01,Unlabeled
K01125.01,Train
K06686.01,Train
K02852.01,Train
K00212.01,Unlabeled
K06027.01,Train
K01124.01,Train
K00219.01,Train
K06687.01,Unlabeled
K03153.01,Train
K02702.01,Test
K02050.01,Train
K02050.02,Unlabeled
K01126.01,Train
K01126.02,Train
K01120.01,Train
K03387.01,Train
K00611.01,Unlabeled
K01688.01,Test
K04115.01,Train
K06688.01,Train
K01122.01,Test
K04627.01,Unlabeled
K01625.01,Train
K03656.01,Train
K01689.01,Train
K03708.01,Train
K03752.01,Train
K02065.01,Unlabeled
K02419.01,Train
K04438.01,Train
K02857.01,Train
K02857.02,Train
K06689.01,Unlabeled
K02775.01,Unlabeled
K00661.01,Train
K00661.02,Train
K04121.01,Train
K05267.01,Test
K02710.01,Train
K04410.01,Unlabeled
K02618.01,Test
K02021.01,Test
K07776.01,Unlabeled
K08263.01,Unlabeled
K02948.01,Unlabeled
K03040.01,Unlabeled
K04794.01,Unlabeled
K01127.01,Test
K01127.02,Train
K01127.03,Unlabeled
K01121.01,Train
K03399.01,Train
K04391.01,Unlabeled
K06146.01,Train
K01128.01,Train
K03634.01,Train
K05270.02,Test
K05271.01,Test
K04221.01,Train
K06690.01,Test
K05272.01,Train
K02889.01,Train
K06691.01,Test
K06692.01,Train
K02404.01,Unlabeled
K02404.02,Test
K06693.01,Train
K02873.01,Test
K06694.01,Train
K05273.01,Test
K01744.01,Test
K03456.01,Train
K00662.01,Train
K01123.01,Train
K05274.01,Train
K06696.01,Train
K05275.01,Train
K03503.01,Unlabeled
K03356.01,Train
K05276.01,Unlabeled
K04554.01,Unlabeled
K07777.01,Train
K02811.01,Unlabeled
K05278.01,Unlabeled
K06698.01,Train
K02127.01,Train
K00509.01,Train
K00509.02,Test
K00509.03,Train
K02036.01,Train
K02036.02,Train
K00239.01,Train
K00239.02,Unlabeled
K01238.01,Train
K06699.01,Train
K06700.01,Test
K01228.01,Train
K01626.01,Test
K05279.01,Unlabeled
K05280.01,Train
K03035.01,Test
K06701.01,Train
K01234.01,Train
K00851.01,Train
K06702.01,Train
K06703.01,Test
K03990.01,Train
K00852.01,Train
K00510.01,Test
K00510.02,Test
K00510.03,Train
K00510.04,Train
K06705.01,Unlabeled
K04900.01,Unlabeled
K04861.01,Unlabeled
K00663.01,Train
K00663.02,Train
K03554.01,Unlabeled
K00853.01,Train
K00853.02,Train
K04054.01,Unlabeled
K02408.01,Train
K03534.01,Train
K02757.01,Unlabeled
K00854.01,Test
K02828.01,Train
K02828.02,Unlabeled
K06707.01,Unlabeled
K06707.02,Train
K06708.01,Train
K02976.01,Unlabeled
K01246.01,Unlabeled
K06709.01,Test
K00664.01,Train
K00664.02,Train
K00664.03,Train
K00176.01,Train
K07778.01,Train
K05284.01,Unlabeled
K06710.01,Train
K03138.01,Train
K03138.02,Train
K07779.01,Train
K06711.01,Train
K06712.01,Train
K01241.01,Test
K01241.02,Test
K06713.01,Train
K06147.01,Train
K06714.01,Train
K08121.01,Train
K07780.01,Unlabeled
K00511.01,Test
K00511.02,Train
K06715.01,Unlabeled
K03054.01,Train
K00094.01,Train
K00094.02,Train
K00094.03,Train
K00094.04,Train
K01231.01,Test
K01231.02,Train
K04163.01,Train
K06716.01,Train
K06717.01,Train
K02840.01,Unlabeled
K02840.02,Unlabeled
K01826.01,Test
K01620.01,Train
K04743.01,Unlabeled
K06718.01,Train
K07781.01,Test
K01230.01,Unlabeled
K03705.01,Train
K03701.01,Train
K01690.01,Test
K00372.01,Train
K06719.01,Test
K06720.01,Test
K03284.01,Train
K02451.01,Train
K00560.01,Train
K03152.01,Test
K01790.01,Train
K08122.01,Unlabeled
K02455.01,Train
K03815.01,Unlabeled
K00416.01,Test
K00416.02,Train
K00416.03,Unlabeled
K05287.01,Unlabeled
K05288.01,Unlabeled
K03818.01,Train
K02445.01,Unlabeled
